Policy_Number,Customer_ID,Policy_Type,Insurance_Provider,Premium_Amount,Sum_Insured,Deductible,Roadside_Assistance,Engine_Protection,Personal_Accident_Cover,Valid_From,Valid_To,Policy_Status
POL00001,CUST00042,Third Party,Oriental Insurance,18031,700000,3000,Yes,Yes,No,2024-11-28,2025-11-28,Expired
POL00002,CUST00092,Zero Depreciation,HDFC ERGO,36347,1500000,3000,Yes,No,No,2026-06-18,2027-06-18,Active
POL00003,CUST00086,Comprehensive,Reliance General,30713,800000,3000,Yes,Yes,Yes,2026-03-21,2027-03-21,Expired
POL00004,CUST00078,Zero Depreciation,HDFC ERGO,26644,1200000,5000,No,No,No,2025-10-29,2026-10-29,Active
POL00005,CUST00077,Comprehensive,Bajaj Allianz,43549,1200000,1000,No,Yes,Yes,2025-06-08,2026-06-08,Expired
POL00006,CUST00007,Zero Depreciation,HDFC ERGO,34320,1200000,3000,No,No,No,2026-05-07,2027-05-07,Expired
POL00007,CUST00098,Comprehensive,ACKO,19527,1000000,5000,Yes,Yes,Yes,2025-10-21,2026-10-21,Active
POL00008,CUST00033,Third Party,SBI General,24437,700000,1000,Yes,No,No,2025-01-20,2026-01-20,Expired
POL00009,CUST00053,Zero Depreciation,HDFC ERGO,19174,800000,2000,Yes,Yes,Yes,2025-01-28,2026-01-28,Expired
POL00010,CUST00047,Comprehensive,Reliance General,17728,800000,3000,No,Yes,No,2025-11-19,2026-11-19,Active
POL00011,CUST00040,Zero Depreciation,Bajaj Allianz,15914,700000,1000,Yes,No,No,2026-04-17,2027-04-17,Expired
POL00012,CUST00003,Third Party,ICICI Lombard,54662,1500000,5000,No,Yes,No,2025-09-12,2026-09-12,Active
POL00013,CUST00065,Zero Depreciation,New India Assurance,20439,1000000,5000,No,No,No,2025-07-16,2026-07-16,Expired
POL00014,CUST00064,Zero Depreciation,Oriental Insurance,26604,1000000,5000,Yes,Yes,Yes,2025-06-22,2026-06-22,Active
POL00015,CUST00094,Third Party,ICICI Lombard,21620,700000,3000,Yes,Yes,Yes,2025-03-30,2026-03-30,Active
POL00016,CUST00099,Third Party,Tata AIG,9636,500000,2000,No,Yes,No,2025-06-08,2026-06-08,Active
POL00017,CUST00020,Third Party,ICICI Lombard,39619,1200000,2000,Yes,No,No,2024-10-22,2025-10-22,Active
POL00018,CUST00045,Zero Depreciation,Tata AIG,29579,800000,2000,Yes,Yes,Yes,2026-03-31,2027-03-31,Active
POL00019,CUST00011,Zero Depreciation,ICICI Lombard,32822,1000000,2000,No,No,No,2025-11-06,2026-11-06,Active
POL00020,CUST00087,Comprehensive,Digit Insurance,37923,1200000,3000,No,No,No,2025-04-28,2026-04-28,Active
POL00021,CUST00052,Comprehensive,Reliance General,38030,1000000,3000,No,No,No,2025-07-10,2026-07-10,Expired
POL00022,CUST00091,Comprehensive,Oriental Insurance,22955,800000,2000,Yes,Yes,No,2026-07-09,2027-07-09,Expired
POL00023,CUST00010,Comprehensive,Tata AIG,36333,1200000,5000,Yes,No,No,2025-01-22,2026-01-22,Active
POL00024,CUST00030,Zero Depreciation,Tata AIG,11425,500000,3000,No,Yes,Yes,2026-06-10,2027-06-10,Expired
POL00025,CUST00071,Zero Depreciation,Bajaj Allianz,19514,700000,5000,No,Yes,No,2024-11-13,2025-11-13,Expired
POL00026,CUST00010,Comprehensive,ACKO,59393,1500000,3000,No,Yes,Yes,2025-03-05,2026-03-05,Expired
POL00027,CUST00083,Comprehensive,Reliance General,16483,500000,2000,No,No,Yes,2026-07-15,2027-07-15,Active
POL00028,CUST00027,Zero Depreciation,HDFC ERGO,22932,700000,5000,No,No,No,2025-10-10,2026-10-10,Expired
POL00029,CUST00006,Comprehensive,Tata AIG,45842,1200000,1000,No,No,Yes,2026-01-29,2027-01-29,Expired
POL00030,CUST00026,Third Party,New India Assurance,24303,800000,5000,No,No,No,2026-05-15,2027-05-15,Active
